# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PE_PGRS13	Rv0833	CCP43581	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PE_PGRS14	Rv0834c	CCP43582	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PE_PGRS15	Rv0872c	CCP43620	protein_coding	0	0	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS16	Rv0977	CCP43726	protein_coding	1	0	0	6	0	0	0	0	4	1	0	0	0	0	0	0	0	2
PE_PGRS17	Rv0978c	CCP43727	protein_coding	1	1	0	4	0	0	0	0	2	1	0	0	0	0	0	0	1	2
PE_PGRS18	Rv0980c	CCP43730	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3
PE_PGRS19	Rv1067c	CCP43818	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS2	Rv0124	CCP42849	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PE_PGRS20	Rv1068c	CCP43819	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1
PE_PGRS22	Rv1091	CCP43844	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS23	Rv1243c	CCP43999	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS24	Rv1325c	CCP44083	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS25	Rv1396c	CCP44155	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PE_PGRS27	Rv1450c	CCP44209	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE_PGRS28	Rv1452c	CCP44211	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS3	Rv0278c	CCP43008	protein_coding	0	6	4	15	0	0	0	0	1	0	4	0	0	0	0	0	6	14
PE_PGRS30	Rv1651c	CCP44416	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1
PE_PGRS32	Rv1803c	CCP44569	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3
PE_PGRS33	Rv1818c	CCP44584	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PE_PGRS34	Rv1840c	CCP44606	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS35	Rv1983	CCP44753	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PE_PGRS36	Rv2098c	Rv2098c	pseudogene	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	3
PE_PGRS37	Rv2126c	CCP44901	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PE_PGRS38	Rv2162c	CCP44939	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
PE_PGRS39	Rv2340c	CCP45128	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PE_PGRS4	Rv0279c	CCP43009	protein_coding	1	5	2	17	0	0	0	0	16	1	2	0	1	0	1	0	5	1
PE_PGRS40	Rv2371	CCP45159	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS41	Rv2396	CCP45186	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PE_PGRS43	Rv2490c	CCP45284	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE_PGRS44	Rv2591	CCP45387	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS45	Rv2615c	CCP45413	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE_PGRS46	Rv2634c	CCP45432	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
PE_PGRS47	Rv2741	CCP45540	protein_coding	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0
PE_PGRS48	Rv2853	CCP45654	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS49	Rv3344c	CCP46165	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
PE_PGRS5	Rv0297	CCP43027	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS50	Rv3345c	CCP46166	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	4
PE_PGRS51	Rv3367	CCP46188	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS52	Rv3388	CCP46209	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PE_PGRS53	Rv3507	CCP46329	protein_coding	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2
PE_PGRS54	Rv3508	CCP46330	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS55	Rv3511	CCP46333	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS56	Rv3512	CCP46334	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PE_PGRS57	Rv3514	CCP46336	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PE_PGRS58	Rv3590c	CCP46413	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	2
PE_PGRS59	Rv3595c	CCP46418	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PE_PGRS6	Rv0532	CCP43270	protein_coding	0	0	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1
PE_PGRS60	Rv3652	CCP46475	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE_PGRS61	Rv3653	CCP46476	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE_PGRS62	Rv3812	CCP46641	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS7	Rv0578c	CCP43316	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PE_PGRS8	Rv0742	CCP43487	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PE_PGRS9	Rv0746	CCP43491	protein_coding	0	0	3	6	0	0	0	0	6	0	3	0	0	0	0	0	0	0
PPE1	Rv0096	CCP42821	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE11	Rv0453	CCP43184	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
PPE12	Rv0755c	CCP43501	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
PPE13	Rv0878c	CCP43626	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PPE14	Rv0915c	CCP43663	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE15	Rv1039c	CCP43790	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
PPE18	Rv1196	CCP43952	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
PPE19	Rv1361c	CCP44119	protein_coding	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1
PPE2	Rv0256c	CCP42985	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PPE20	Rv1387	CCP44146	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE21	Rv1548c	CCP44312	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PPE22	Rv1705c	CCP44470	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
PPE23	Rv1706c	CCP44471	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PPE24	Rv1753c	CCP44519	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PPE25	Rv1787	CCP44553	protein_coding	0	0	1	5	0	0	0	0	4	0	1	0	0	0	0	0	0	1
PPE26	Rv1789	CCP44555	protein_coding	0	0	1	5	0	0	0	0	3	0	1	0	0	0	0	0	0	2
PPE27	Rv1790	CCP44556	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PPE28	Rv1800	CCP44566	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PPE29	Rv1801	CCP44567	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE3	Rv0280	CCP43010	protein_coding	0	0	1	22	0	0	0	0	0	0	1	0	0	0	0	0	0	22
PPE30	Rv1802	CCP44568	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
PPE31	Rv1807	CCP44573	protein_coding	0	0	2	3	0	0	0	0	2	0	2	0	0	0	0	0	0	1
PPE32	Rv1808	CCP44574	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3
PPE33	Rv1809	CCP44575	protein_coding	0	1	1	6	0	0	0	0	4	0	1	0	0	0	0	0	1	2
PPE34	Rv1917c	CCP44684	protein_coding	0	2	5	4	0	0	0	0	4	0	5	0	0	0	0	0	2	0
PPE35	Rv1918c	CCP44685	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0
PPE36	Rv2108	CCP44883	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
PPE37	Rv2123	CCP44898	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE38	Rv2352c	CCP45140	protein_coding	0	0	1	20	1	0	0	0	18	0	0	0	0	0	0	0	0	2
PPE39	Rv2353c	CCP45141	protein_coding	0	0	0	21	0	0	0	0	19	0	0	0	0	0	0	0	0	2
PPE4	Rv0286	CCP43016	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE40	Rv2356c	CCP45144	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1
PPE41	Rv2430c	CCP45222	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE42	Rv2608	CCP45405	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0
PPE43	Rv2768c	CCP45567	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE44	Rv2770c	CCP45569	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE46	Rv3018c	CCP45824	protein_coding	0	0	1	10	0	0	0	0	0	0	1	0	0	0	0	0	0	10
PPE47	Rv3021c	Rv3021c	pseudogene	0	0	0	11	0	0	0	0	1	0	0	9	0	0	0	0	0	1
PPE48	Rv3022c	Rv3022c	pseudogene	0	1	0	10	0	0	0	0	9	0	0	2	1	0	0	0	0	0
PPE49	Rv3125c	CCP45935	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE5	Rv0304c	CCP43034	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
PPE50	Rv3135	CCP45945	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE51	Rv3136	CCP45946	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE52	Rv3144c	CCP45955	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE53	Rv3159c	CCP45970	protein_coding	0	9	3	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0
PPE54	Rv3343c	CCP46164	protein_coding	0	3	3	1	0	0	0	0	1	0	3	0	0	0	0	0	3	0
PPE55	Rv3347c	CCP46168	protein_coding	0	6	5	1	0	0	0	0	0	0	5	0	0	0	0	0	6	1
PPE56	Rv3350c	CCP46171	protein_coding	0	0	3	7	0	0	0	0	7	0	3	0	0	0	0	0	0	0
PPE57	Rv3425	CCP46247	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE58	Rv3426	CCP46248	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE6	Rv0305c	CCP43035	protein_coding	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1
PPE60	Rv3478	CCP46300	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
PPE61	Rv3532	CCP46354	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PPE62	Rv3533c	CCP46355	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE63	Rv3539	CCP46361	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE64	Rv3558	CCP46380	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PPE65	Rv3621c	CCP46444	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	1
PPE66	Rv3738c	CCP46565	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PPE67	Rv3739c	CCP46566	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PPE68	Rv3873	CCP46702	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PPE69	Rv3892c	CCP46721	protein_coding	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2
PPE7	Rv0354c	CCP43084	protein_coding	1	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	3
PPE8	Rv0355c	CCP43085	protein_coding	1	0	3	5	0	0	2	0	2	1	1	0	0	0	0	0	0	3
PPE9	Rv0388c	CCP43118	protein_coding	2	2	7	2	0	0	0	0	1	2	7	0	0	0	0	0	2	1
Rv0004	Rv0004	CCP42726	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
Rv0007	Rv0007	CCP42729	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3
Rv0008c	Rv0008c	CCP42730	protein_coding	0	0	1	6	0	0	0	0	4	0	1	0	0	0	0	0	0	2
Rv0010c	Rv0010c	CCP42732	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
Rv0011c	Rv0011c	CCP42733	protein_coding	0	1	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1	1
Rv0012	Rv0012	CCP42734	protein_coding	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	4
Rv0021c	Rv0021c	CCP42743	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	6
Rv0023	Rv0023	CCP42745	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	2
Rv0024	Rv0024	CCP42746	protein_coding	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	2
Rv0025	Rv0025	CCP42747	protein_coding	1	0	0	8	0	0	0	0	6	1	0	0	0	0	0	0	0	2
Rv0026	Rv0026	CCP42748	protein_coding	0	1	2	5	0	0	0	0	3	0	2	0	0	0	0	0	1	2
Rv0027	Rv0027	CCP42749	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	6
Rv0028	Rv0028	CCP42750	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	6
Rv0029	Rv0029	CCP42751	protein_coding	1	0	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	5
Rv0030	Rv0030	CCP42752	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	6
Rv0031	Rv0031	CCP42753	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	6
Rv0034	Rv0034	CCP42756	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Rv0036c	Rv0036c	CCP42758	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0037c	Rv0037c	CCP42759	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0038	Rv0038	CCP42760	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0039c	Rv0039c	CCP42761	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0042c	Rv0042c	CCP42764	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv0043c	Rv0043c	CCP42765	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv0044c	Rv0044c	CCP42766	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv0045c	Rv0045c	CCP42767	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv0047c	Rv0047c	CCP42769	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	6
Rv0048c	Rv0048c	CCP42770	protein_coding	0	0	2	6	0	0	0	0	1	0	2	0	0	0	0	0	0	5
Rv0049	Rv0049	CCP42771	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	3
Rv0051	Rv0051	CCP42773	protein_coding	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	6
Rv0052	Rv0052	CCP42774	protein_coding	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	5
Rv0057	Rv0057	CCP42779	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	3
Rv0059	Rv0059	CCP42781	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv0060	Rv0060	CCP42782	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	3
Rv0061c	Rv0061c	CCP42783	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	3
Rv0063	Rv0063	CCP42785	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	4
Rv0064	Rv0064	CCP42786	protein_coding	0	0	4	3	0	0	0	0	2	0	4	0	0	0	0	0	0	1
Rv0067c	Rv0067c	CCP42790	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3
Rv0068	Rv0068	CCP42791	protein_coding	0	0	1	5	0	0	0	0	2	0	1	0	0	0	0	0	0	3
Rv0071	Rv0071	CCP42794	protein_coding	0	0	1	4	0	1	0	0	2	0	0	0	0	0	0	0	0	2
Rv0072	Rv0072	CCP42795	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv0073	Rv0073	CCP42796	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0074	Rv0074	CCP42797	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2
Rv0075	Rv0075	CCP42798	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv0076c	Rv0076c	CCP42799	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv0077c	Rv0077c	CCP42800	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0078	Rv0078	CCP42801	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0078A	Rv0078A	CCP42802	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0078B	Rv0078B	CCP42803	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0079	Rv0079	CCP42804	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv0080	Rv0080	CCP42805	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv0081	Rv0081	CCP42806	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Rv0082	Rv0082	CCP42807	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0083	Rv0083	CCP42808	protein_coding	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	1
